parent_label,label,video_path,include_50
Jobs,93. Soldier,Jobs/93. Soldier/MVI_4497.MOV,False
Animals,1. Dog,Animals/1. Dog/MVI_4147.MOV,False
Days_and_Time,86. Time,Days_and_Time/86. Time/MVI_5524.MOV,False
Electronics,59. Television,Electronics/59. Television/MVI_5415.MOV,False
Days_and_Time,73. Today,Days_and_Time/73. Today/MVI_5471.MOV,False
Places,24. School,Places/24. School/MVI_3458.MOV,False
Adjectives,88. cold,Adjectives/88. cold/MVI_9332.MOV,False
People,81. Friend,People/81. Friend/MVI_5145.MOV,False
Places,19. House,Places/19. House/MVI_3350.MOV,False
Adjectives,12. poor,Adjectives/12. poor/MVI_9738.MOV,False
Adjectives,1. loud,Adjectives/1. loud/MVI_9536.MOV,False
Home,26. Bed,Home/26. Bed/MVI_8759.MP4,False
People,70. Grandmother,People/70. Grandmother/MVI_3795.MOV,False
Society,13. Attack,Society/13. Attack/MVI_4836.MOV,False
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_3174.MOV,False
Adjectives,22. loose,Adjectives/22. loose/MVI_9650.MOV,False
Jobs,97. Reporter,Jobs/97. Reporter/MVI_4512.MOV,False
Home,49. Ring,Home/49. Ring/MVI_4954.MOV,False
Home,31. Kitchen,Home/31. Kitchen/MVI_4897.MOV,False
Adjectives,1. loud,Adjectives/1. loud/MVI_5336.MOV,False
Home,31. Kitchen,Home/31. Kitchen/MVI_8779.MP4,False
Society,13. Attack,Society/13. Attack/MVI_8709.MP4,False
Clothes,44. Shoes,Clothes/44. Shoes/MVI_4010.MOV,False
Greetings,55. Thank you,Greetings/55. Thank you/MVI_9985.MOV,False
Jobs,94. Artist,Jobs/94. Artist/MVI_4779.MOV,False
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9538.MOV,False
Colours,55. White,Colours/55. White/MVI_5209.MOV,False
Adjectives,78. long,Adjectives/78. long/MVI_5108.MOV,False
Adjectives,14. thin,Adjectives/14. thin/MVI_9610.MOV,False
Electronics,51. Clock,Electronics/51. Clock/MVI_4524.MOV,False
Pronouns,40. I,Pronouns/40. I/MVI_9919.MOV,False
Adjectives,86. fast,Adjectives/86. fast/MVI_9326.MOV,False
Society,15. Newspaper,Society/15. Newspaper/MVI_8970.MP4,False
Means_of_Transportation,14. Bus,Means_of_Transportation/14. Bus/MVI_4185.MOV,False
Home,44. Telephone,Home/44. Telephone/MVI_8835.MP4,False
Colours,47. Red,Colours/47. Red/MVI_5186.MOV,False
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_3238.MOV,False
Adjectives,98. sick,Adjectives/98. sick/MVI_5253.MOV,False
Days_and_Time,70. Thursday,Days_and_Time/70. Thursday/MVI_4603.MOV,False
Society,11. War,Society/11. War/MVI_8700.MP4,False
Adjectives,98. sick,Adjectives/98. sick/MVI_5171.MOV,False
Days_and_Time,85. Night,Days_and_Time/85. Night/MVI_9199.MP4,False
Home,29. Door,Home/29. Door/MVI_8772.MP4,False
Means_of_Transportation,9. Train,Means_of_Transportation/9. Train/MVI_3169.MOV,False
Colours,56. Grey,Colours/56. Grey/MVI_3749.MOV,False
Adjectives,92. old,Adjectives/92. old/MVI_5233.MOV,False
Animals,2. Cat,Animals/2. Cat/MVI_3007.MOV,False
Places,26. University,Places/26. University/MVI_3300.MOV,False
Home,33. Pencil,Home/33. Pencil/MVI_8789.MP4,False
Home,45. Bag,Home/45. Bag/MVI_9073.MP4,False
Colours,53. Orange,Colours/53. Orange/MVI_4917.MOV,False
Colours,57. Colour,Colours/57. Colour/MVI_3752.MOV,False
Adjectives,95. bad,Adjectives/95. bad/MVI_5163.MOV,False
Adjectives,97. dry,Adjectives/97. dry/MVI_9521.MOV,False
Places,18. City,Places/18. City/MVI_3434.MOV,False
Days_and_Time,68. Tuesday,Days_and_Time/68. Tuesday/MVI_4597.MOV,False
Adjectives,11. rich,Adjectives/11. rich/MVI_9735.MOV,False
Pronouns,40. I,Pronouns/40. I/MVI_9879.MOV,False
Means_of_Transportation,14. Bus,Means_of_Transportation/14. Bus/MVI_3248.MOV,False
Adjectives,93. young,Adjectives/93. young/MVI_9509.MOV,False
Adjectives,27. deep,Adjectives/27. deep/MVI_9800.MOV,False
Animals,7. Horse,Animals/7. Horse/MVI_3022.MOV,False
People,76. Neighbour,People/76. Neighbour/MVI_4978.MOV,False
Adjectives,13. thick,Adjectives/13. thick/MVI_9745.MOV,False
Animals,2. Cat,Animals/2. Cat/MVI_3063.MOV,False
Society,10. Energy,Society/10. Energy/MVI_8693.MP4,False
Clothes,45. Pocket,Clothes/45. Pocket/MVI_4205.MOV,False
Society,19. Ball,Society/19. Ball/MVI_8730.MP4,False
Animals,5. Cow,Animals/5. Cow/MVI_4160.MOV,False
People,75. President,People/75. President/MVI_4104.MOV,False
Pronouns,40. I,Pronouns/40. I/MVI_0064.MOV,False
People,79. Child,People/79. Child/MVI_5295.MOV,False
Places,20. Street or Road,Places/20. Street or Road/MVI_3353.MOV,False
Jobs,96. Manager,Jobs/96. Manager/MVI_4785.MOV,False
Adjectives,90. cool,Adjectives/90. cool/MVI_9339.MOV,False
Days_and_Time,71. Friday,Days_and_Time/71. Friday/MVI_9155.MP4,False
Places,18. City,Places/18. City/MVI_3345.MOV,False
Electronics,51. Clock,Electronics/51. Clock/MVI_4527.MOV,False
Adjectives,13. thick,Adjectives/13. thick/MVI_9742.MOV,False
People,62. Parent,People/62. Parent/MVI_5084.MOV,False
Clothes,45. Pocket,Clothes/45. Pocket/MVI_4012.MOV,False
Places,27. Park,Places/27. Park/MVI_3302.MOV,False
Places,18. City,Places/18. City/MVI_3508.MOV,False
Days_and_Time,83. Afternoon,Days_and_Time/83. Afternoon/MVI_5064.MOV,False
Places,31. Temple,Places/31. Temple/MVI_3322.MOV,False
Adjectives,34. alive,Adjectives/34. alive/MVI_9706.MOV,False
People,80. Adult,People/80. Adult/MVI_4120.MOV,False
Electronics,60. Radio,Electronics/60. Radio/MVI_4988.MOV,False
Greetings,53. Good evening,Greetings/53. Good evening/MVI_0055.MOV,False
Clothes,45. Pocket,Clothes/45. Pocket/MVI_8610.MP4,False
People,58. Son,People/58. Son/MVI_3754.MOV,False
Jobs,85. Student,Jobs/85. Student/MVI_4464.MOV,False
Greetings,55. Thank you,Greetings/55. Thank you/MVI_9951.MOV,False
People,61. Father,People/61. Father/MVI_3765.MOV,False
Jobs,85. Student,Jobs/85. Student/MVI_4465.MOV,False
Colours,48. Green,Colours/48. Green/MVI_4208.MOV,False
Home,34. Pen,Home/34. Pen/MVI_4390.MOV,False
Seasons,Ex. Monsoon,Seasons/Ex. Monsoon/MVI_5528.MOV,False
Seasons,61. Summer,Seasons/61. Summer/MVI_5420.MOV,False
Animals,2. Cat,Animals/2. Cat/MVI_2982.MOV,False
Jobs,98. Actor,Jobs/98. Actor/MVI_8921.MP4,False
People,63. Baby,People/63. Baby/MVI_5235.MOV,False
Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_9969.MOV,False
Home,40. Paint,Home/40. Paint/MVI_4412.MOV,False
People,66. Brother,People/66. Brother/MVI_4077.MOV,False
Clothes,37. Hat,Clothes/37. Hat/MVI_3986.MOV,False
Adjectives,9. Nice,Adjectives/9. Nice/MVI_9589.MOV,False
Places,27. Park,Places/27. Park/MVI_3549.MOV,False
People,59. Daughter,People/59. Daughter/MVI_3903.MOV,False
Animals,3. Fish,Animals/3. Fish/MVI_8566.MP4,False
Colours,49. Blue,Colours/49. Blue/MVI_4025.MOV,False
Places,19. House,Places/19. House/MVI_3351.MOV,False
Home,24. Table,Home/24. Table/MVI_8751.MP4,False
Places,29. Library,Places/29. Library/MVI_3558.MOV,False
Places,35. Bank,Places/35. Bank/MVI_3423.MOV,False
Adjectives,15. expensive,Adjectives/15. expensive/MVI_9615.MOV,False
Electronics,58. Camera,Electronics/58. Camera/MVI_4553.MOV,False
Means_of_Transportation,15. Boat,Means_of_Transportation/15. Boat/MVI_8595.MP4,False
Electronics,51. Clock,Electronics/51. Clock/MVI_5381.MOV,False
People,67. Sister,People/67. Sister/MVI_3784.MOV,False
Days_and_Time,80. Minute,Days_and_Time/80. Minute/MVI_9184.MP4,False
Colours,47. Red,Colours/47. Red/MVI_5184.MOV,False
Places,21. Train Station,Places/21. Train Station/MVI_3446.MOV,False
People,62. Parent,People/62. Parent/MVI_4945.MOV,False
Means_of_Transportation,10. Plane,Means_of_Transportation/10. Plane/MVI_3207.MOV,False
Days_and_Time,76. Week,Days_and_Time/76. Week/MVI_4628.MOV,False
Clothes,42. T-Shirt,Clothes/42. T-Shirt/MVI_5022.MOV,False
Clothes,44. Shoes,Clothes/44. Shoes/MVI_4008.MOV,False
People,83. Crowd,People/83. Crowd/MVI_5306.MOV,False
Society,21. Sign,Society/21. Sign/MVI_8740.MP4,False
Society,11. War,Society/11. War/MVI_8697.MP4,False
Days_and_Time,74. Tomorrow,Days_and_Time/74. Tomorrow/MVI_5035.MOV,False
Days_and_Time,75. Yesterday,Days_and_Time/75. Yesterday/MVI_9168.MP4,False
People,72. Wife,People/72. Wife/MVI_8639.MP4,False
Greetings,54. Good night,Greetings/54. Good night/MVI_9980.MOV,False
Home,25. Chair,Home/25. Chair/MVI_8756.MP4,False
Days_and_Time,76. Week,Days_and_Time/76. Week/MVI_5043.MOV,False
Adjectives,99. healthy,Adjectives/99. healthy/MVI_9286.MOV,False
Adjectives,86. fast,Adjectives/86. fast/MVI_9484.MOV,False
People,77. Boy,People/77. Boy/MVI_5134.MOV,False
Adjectives,88. cold,Adjectives/88. cold/MVI_9491.MOV,False
Places,35. Bank,Places/35. Bank/MVI_3419.MOV,False
Pronouns,42. he,Pronouns/42. he/MVI_0008.MOV,False
Jobs,87. Doctor,Jobs/87. Doctor/MVI_5325.MOV,False
Places,22. Restaurant,Places/22. Restaurant/MVI_3362.MOV,False
Home,43. Lock,Home/43. Lock/MVI_4425.MOV,False
Jobs,84. Teacher,Jobs/84. Teacher/MVI_8864.MP4,False
Electronics,57. Screen,Electronics/57. Screen/MVI_4549.MOV,False
People,61. Father,People/61. Father/MVI_5082.MOV,False
Animals,4. Bird,Animals/4. Bird/MVI_2989.MOV,False
Days_and_Time,77. Month,Days_and_Time/77. Month/MVI_9174.MP4,False
Adjectives,85. slow,Adjectives/85. slow/MVI_5130.MOV,False
Clothes,38. Dress,Clothes/38. Dress/MVI_5158.MOV,False
Days_and_Time,71. Friday,Days_and_Time/71. Friday/MVI_4610.MOV,False
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_3239.MOV,False
Means_of_Transportation,9. Train,Means_of_Transportation/9. Train/MVI_3231.MOV,False
People,59. Daughter,People/59. Daughter/MVI_4221.MOV,False
Adjectives,80. tall,Adjectives/80. tall/MVI_9223.MOV,False
Greetings,56. Pleased,Greetings/56. Pleased/MVI_0066.MOV,False
Home,42. Paper,Home/42. Paper/MVI_4932.MOV,False
Adjectives,92. old,Adjectives/92. old/MVI_5234.MOV,False
People,60. Mother,People/60. Mother/MVI_4937.MOV,False
Days_and_Time,85. Night,Days_and_Time/85. Night/MVI_9200.MP4,False
Colours,54. Black,Colours/54. Black/MVI_4215.MOV,False
Pronouns,40. I,Pronouns/40. I/MVI_0014.MOV,False
People,70. Grandmother,People/70. Grandmother/MVI_3794.MOV,False
Pronouns,42. he,Pronouns/42. he/MVI_9927.MOV,False
Adjectives,88. cold,Adjectives/88. cold/MVI_9331.MOV,False
Places,29. Library,Places/29. Library/MVI_3667.MOV,False
Greetings,54. Good night,Greetings/54. Good night/MVI_0110.MOV,False
Society,5. Bill,Society/5. Bill/MVI_8939.MP4,False
Colours,48. Green,Colours/48. Green/MVI_3724.MOV,False
Adjectives,19. male,Adjectives/19. male/MVI_9637.MOV,False
Greetings,56. Pleased,Greetings/56. Pleased/MVI_9988.MOV,False
People,80. Adult,People/80. Adult/MVI_3973.MOV,False
Clothes,45. Pocket,Clothes/45. Pocket/MVI_3713.MOV,False
Days_and_Time,70. Thursday,Days_and_Time/70. Thursday/MVI_5459.MOV,False
People,60. Mother,People/60. Mother/MVI_4058.MOV,False
Adjectives,1. loud,Adjectives/1. loud/MVI_9534.MOV,False
Adjectives,98. sick,Adjectives/98. sick/MVI_9362.MOV,False
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_3118.MOV,False
Days_and_Time,75. Yesterday,Days_and_Time/75. Yesterday/MVI_5480.MOV,False
Adjectives,19. male,Adjectives/19. male/MVI_9763.MOV,False
Places,26. University,Places/26. University/MVI_3624.MOV,False
People,65. Woman,People/65. Woman/MVI_8630.MP4,False
Animals,8. Animal,Animals/8. Animal/MVI_2999.MOV,False
Adjectives,11. rich,Adjectives/11. rich/MVI_9736.MOV,False
Colours,57. Colour,Colours/57. Colour/MVI_4928.MOV,False
Places,23. Court,Places/23. Court/MVI_3534.MOV,False
Jobs,88. Patient,Jobs/88. Patient/MVI_4760.MOV,False
Colours,53. Orange,Colours/53. Orange/MVI_5204.MOV,False
People,77. Boy,People/77. Boy/MVI_4982.MOV,False
Animals,5. Cow,Animals/5. Cow/MVI_2991.MOV,False
Places,26. University,Places/26. University/MVI_3543.MOV,False
Adjectives,89. warm,Adjectives/89. warm/MVI_9335.MOV,False
Society,8. Race (ethnicity),Society/8. Race (ethnicity)/MVI_8948.MP4,False
Adjectives,4. sad,Adjectives/4. sad/MVI_9720.MOV,False
Days_and_Time,84. Evening,Days_and_Time/84. Evening/MVI_5518.MOV,False
Colours,49. Blue,Colours/49. Blue/MVI_5190.MOV,False
Electronics,52. Lamp,Electronics/52. Lamp/MVI_5385.MOV,False
Society,5. Bill,Society/5. Bill/MVI_8940.MP4,False
Greetings,56. Pleased,Greetings/56. Pleased/MVI_0062.MOV,False
Adjectives,98. sick,Adjectives/98. sick/MVI_9442.MOV,False
Places,26. University,Places/26. University/MVI_3298.MOV,False
Places,36. Location,Places/36. Location/MVI_3506.MOV,False
Home,36. Soap,Home/36. Soap/MVI_9039.MP4,False
Adjectives,25. soft,Adjectives/25. soft/MVI_9662.MOV,False
Colours,50. Yellow,Colours/50. Yellow/MVI_4028.MOV,False
Home,31. Kitchen,Home/31. Kitchen/MVI_8780.MP4,False
Adjectives,23. high,Adjectives/23. high/MVI_9656.MOV,False
Home,33. Pencil,Home/33. Pencil/MVI_4905.MOV,False
Adjectives,98. sick,Adjectives/98. sick/MVI_9281.MOV,False
Jobs,87. Doctor,Jobs/87. Doctor/MVI_5322.MOV,False
Electronics,57. Screen,Electronics/57. Screen/MVI_4552.MOV,False
Adjectives,78. long,Adjectives/78. long/MVI_9460.MOV,False
Pronouns,47. they,Pronouns/47. they/MVI_0035.MOV,False
Society,14. Election,Society/14. Election/MVI_8713.MP4,False
Colours,51. Brown,Colours/51. Brown/MVI_3732.MOV,False
Home,45. Bag,Home/45. Bag/MVI_4433.MOV,False
Home,44. Telephone,Home/44. Telephone/MVI_4940.MOV,False
Adjectives,21. tight,Adjectives/21. tight/MVI_9648.MOV,False
Jobs,94. Artist,Jobs/94. Artist/MVI_8897.MP4,False
People,65. Woman,People/65. Woman/MVI_4954.MOV,False
Home,40. Paint,Home/40. Paint/MVI_9053.MP4,False
Electronics,58. Camera,Electronics/58. Camera/MVI_4555.MOV,False
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_9142.MP4,False
People,76. Neighbour,People/76. Neighbour/MVI_3811.MOV,False
Means_of_Transportation,15. Boat,Means_of_Transportation/15. Boat/MVI_3252.MOV,False
Adjectives,30. dirty,Adjectives/30. dirty/MVI_9812.MOV,False
Electronics,60. Radio,Electronics/60. Radio/MVI_4562.MOV,False
Adjectives,79. short,Adjectives/79. short/MVI_9221.MOV,False
Greetings,53. Good evening,Greetings/53. Good evening/MVI_9979.MOV,False
People,58. Son,People/58. Son/MVI_5073.MOV,False
Home,24. Table,Home/24. Table/MVI_4345.MOV,False
Greetings,50. Alright,Greetings/50. Alright/MVI_9923.MOV,False
Adjectives,99. healthy,Adjectives/99. healthy/MVI_9365.MOV,False
People,81. Friend,People/81. Friend/MVI_3977.MOV,False
Adjectives,95. bad,Adjectives/95. bad/MVI_5162.MOV,False
Animals,5. Cow,Animals/5. Cow/MVI_3016.MOV,False
People,64. Man,People/64. Man/MVI_5091.MOV,False
Places,36. Location,Places/36. Location/MVI_3671.MOV,False
Society,6. Marriage,Society/6. Marriage/MVI_4271.MOV,False
Clothes,44. Shoes,Clothes/44. Shoes/MVI_4888.MOV,False
People,78. Girl,People/78. Girl/MVI_3967.MOV,False
Days_and_Time,85. Night,Days_and_Time/85. Night/MVI_5522.MOV,False
Clothes,43. Pant,Clothes/43. Pant/MVI_5024.MOV,False
Society,16. Gun,Society/16. Gun/MVI_4314.MOV,False
Society,4. Money,Society/4. Money/MVI_8670.MP4,False
People,72. Wife,People/72. Wife/MVI_4093.MOV,False
Adjectives,12. poor,Adjectives/12. poor/MVI_9601.MOV,False
Days_and_Time,83. Afternoon,Days_and_Time/83. Afternoon/MVI_9193.MP4,False
Adjectives,95. bad,Adjectives/95. bad/MVI_9271.MOV,False
Clothes,40. Skirt,Clothes/40. Skirt/MVI_5165.MOV,False
Means_of_Transportation,16. train ticket,Means_of_Transportation/16. train ticket/MVI_4191.MOV,False
People,63. Baby,People/63. Baby/MVI_5088.MOV,False
Home,25. Chair,Home/25. Chair/MVI_4350.MOV,False
Adjectives,27. deep,Adjectives/27. deep/MVI_9670.MOV,False
People,81. Friend,People/81. Friend/MVI_5300.MOV,False
Days_and_Time,72. Saturday,Days_and_Time/72. Saturday/MVI_5467.MOV,False
Pronouns,43. she,Pronouns/43. she/MVI_0011.MOV,False
Pronouns,46. you (plural),Pronouns/46. you (plural)/MVI_9945.MOV,False
Days_and_Time,73. Today,Days_and_Time/73. Today/MVI_4618.MOV,False
Places,34. Ground,Places/34. Ground/MVI_3333.MOV,False
Adjectives,21. tight,Adjectives/21. tight/MVI_9771.MOV,False
Adjectives,29. clean,Adjectives/29. clean/MVI_9808.MOV,False
Home,50. Tool,Home/50. Tool/MVI_8862.MP4,False
Clothes,41. Shirt,Clothes/41. Shirt/MVI_3849.MOV,False
Society,19. Ball,Society/19. Ball/MVI_4325.MOV,False
Adjectives,87. hot,Adjectives/87. hot/MVI_5295.MOV,False
Adjectives,86. fast,Adjectives/86. fast/MVI_9325.MOV,False
Pronouns,47. they,Pronouns/47. they/MVI_9952.MOV,False
Electronics,54. Cell phone,Electronics/54. Cell phone/MVI_4969.MOV,False
Seasons,63. Winter,Seasons/63. Winter/MVI_5431.MOV,False
Places,36. Location,Places/36. Location/MVI_3504.MOV,False
Pronouns,44. it,Pronouns/44. it/MVI_0013.MOV,False
People,71. Husband,People/71. Husband/MVI_4236.MOV,False
Days_and_Time,68. Tuesday,Days_and_Time/68. Tuesday/MVI_9147.MP4,False
Home,46. Box,Home/46. Box/MVI_8845.MP4,False
Animals,6. Mouse,Animals/6. Mouse/MVI_3020.MOV,False
Days_and_Time,84. Evening,Days_and_Time/84. Evening/MVI_9194.MP4,False
Adjectives,27. deep,Adjectives/27. deep/MVI_9672.MOV,False
Jobs,94. Artist,Jobs/94. Artist/MVI_4781.MOV,False
Adjectives,83. big large,Adjectives/83. big large/MVI_5125.MOV,False
Jobs,93. Soldier,Jobs/93. Soldier/MVI_4777.MOV,False
Home,42. Paper,Home/42. Paper/MVI_8826.MP4,False
Adjectives,81. wide,Adjectives/81. wide/MVI_5199.MOV,False
Adjectives,5. Beautiful,Adjectives/5. Beautiful/MVI_9570.MOV,False
People,77. Boy,People/77. Boy/MVI_4983.MOV,False
Colours,51. Brown,Colours/51. Brown/MVI_3879.MOV,False
Home,50. Tool,Home/50. Tool/MVI_4957.MOV,False
Places,33. India,Places/33. India/MVI_3412.MOV,False
Places,27. Park,Places/27. Park/MVI_3469.MOV,False
Jobs,95. Author,Jobs/95. Author/MVI_4784.MOV,False
Home,28. Window,Home/28. Window/MVI_8768.MP4,False
Adjectives,79. short,Home/28. Window/MVI_8768.MP4,False
People,73. King,People/73. King/MVI_4098.MOV,False
Society,18. Exercise,Society/18. Exercise/MVI_8727.MP4,False
Animals,8. Animal,Animals/8. Animal/MVI_8577.MP4,False
Places,31. Temple,Places/31. Temple/MVI_3644.MOV,False
Adjectives,25. soft,Adjectives/25. soft/MVI_9792.MOV,False
Adjectives,80. tall,Adjectives/80. tall/MVI_9384.MOV,False
Greetings,52. Good afternoon,Greetings/52. Good afternoon/MVI_0049.MOV,False
Days_and_Time,80. Minute,Days_and_Time/80. Minute/MVI_9182.MP4,False
Jobs,84. Teacher,Jobs/84. Teacher/MVI_4745.MOV,False
Days_and_Time,75. Yesterday,Days_and_Time/75. Yesterday/MVI_9166.MP4,False
Adjectives,10. Mean,Adjectives/10. Mean/MVI_9594.MOV,False
Society,11. War,Society/11. War/MVI_4292.MOV,False
Pronouns,42. he,Pronouns/42. he/MVI_0019.MOV,False
Days_and_Time,70. Thursday,Days_and_Time/70. Thursday/MVI_5461.MOV,False
Means_of_Transportation,14. Bus,Means_of_Transportation/14. Bus/MVI_8590.MP4,False
People,79. Child,People/79. Child/MVI_4993.MOV,False
Places,22. Restaurant,Places/22. Restaurant/MVI_3529.MOV,False
Electronics,53. Fan,Electronics/53. Fan/MVI_5387.MOV,False
Adjectives,6. Ugly,Adjectives/6. Ugly/MVI_9579.MOV,False
Means_of_Transportation,13. Bicycle,Means_of_Transportation/13. Bicycle/MVI_3181.MOV,False
People,68. Family,People/68. Family/MVI_4081.MOV,False
Days_and_Time,86. Time,Days_and_Time/86. Time/MVI_4668.MOV,False
Jobs,98. Actor,Jobs/98. Actor/MVI_4518.MOV,False
Days_and_Time,80. Minute,Days_and_Time/80. Minute/MVI_5501.MOV,False
Places,34. Ground,Places/34. Ground/MVI_3332.MOV,False
Jobs,91. Priest,Jobs/91. Priest/MVI_4772.MOV,False
People,73. King,People/73. King/MVI_4238.MOV,False
Home,46. Box,Home/46. Box/MVI_4437.MOV,False
Home,50. Tool,Home/50. Tool/MVI_4453.MOV,False
Days_and_Time,Second (Number),Home/50. Tool/MVI_4453.MOV,False
Colours,55. White,Colours/55. White/MVI_4921.MOV,False
Places,25. Office,Places/25. Office/MVI_3621.MOV,False
People,80. Adult,People/80. Adult/MVI_5142.MOV,False
Means_of_Transportation,12. Truck,Means_of_Transportation/12. Truck/MVI_3148.MOV,False
Colours,54. Black,Colours/54. Black/MVI_3889.MOV,False
Places,18. City,Places/18. City/MVI_3432.MOV,False
Colours,53. Orange,Colours/53. Orange/MVI_3739.MOV,False
Means_of_Transportation,16. train ticket,Means_of_Transportation/16. train ticket/MVI_3163.MOV,False
Adjectives,1. loud,Adjectives/1. loud/MVI_5335.MOV,False
Adjectives,90. cool,Adjectives/90. cool/MVI_9419.MOV,False
Electronics,56. Laptop,Electronics/56. Laptop/MVI_4974.MOV,False
Electronics,51. Clock,Electronics/51. Clock/MVI_5379.MOV,False
